SOC,Title,Element_ID,Element_Name,Category,Description,Data_Value
11-1011.00,"Chief Executives",3.A.2,"On-Site or In-Plant Training",1,None,26.49
11-1011.00,"Chief Executives",3.A.2,"On-Site or In-Plant Training",2,"Up to and including 1 month",3.24
11-1011.00,"Chief Executives",3.A.2,"On-Site or In-Plant Training",3,"Over 1 month, up to and including 3 months",13.64
11-1011.00,"Chief Executives",3.A.2,"On-Site or In-Plant Training",4,"Over 3 months, up to and including 6 months",0.43
11-1011.00,"Chief Executives",3.A.2,"On-Site or In-Plant Training",5,"Over 6 months, up to and including 1 year",5.55
11-1011.00,"Chief Executives",3.A.2,"On-Site or In-Plant Training",6,"Over 1 year, up to and including 2 years",19.36
11-1011.00,"Chief Executives",3.A.2,"On-Site or In-Plant Training",7,"Over 2 years, up to and including 4 years",7.83
11-1011.00,"Chief Executives",3.A.2,"On-Site or In-Plant Training",8,"Over 4 years, up to and including 10 years",13.85
11-1011.00,"Chief Executives",3.A.2,"On-Site or In-Plant Training",9,"Over 10 years",9.61
11-1011.03,"Chief Sustainability Officers",3.A.2,"On-Site or In-Plant Training",1,None,40.74
11-1011.03,"Chief Sustainability Officers",3.A.2,"On-Site or In-Plant Training",2,"Up to and including 1 month",22.22
11-1011.03,"Chief Sustainability Officers",3.A.2,"On-Site or In-Plant Training",3,"Over 1 month, up to and including 3 months",7.41
11-1011.03,"Chief Sustainability Officers",3.A.2,"On-Site or In-Plant Training",4,"Over 3 months, up to and including 6 months",7.41
11-1011.03,"Chief Sustainability Officers",3.A.2,"On-Site or In-Plant Training",5,"Over 6 months, up to and including 1 year",7.41
11-1011.03,"Chief Sustainability Officers",3.A.2,"On-Site or In-Plant Training",7,"Over 2 years, up to and including 4 years",7.41
11-1011.03,"Chief Sustainability Officers",3.A.2,"On-Site or In-Plant Training",9,"Over 10 years",7.41
11-1021.00,"General and Operations Managers",3.A.2,"On-Site or In-Plant Training",1,None,6.82
11-1021.00,"General and Operations Managers",3.A.2,"On-Site or In-Plant Training",2,"Up to and including 1 month",27.29
11-1021.00,"General and Operations Managers",3.A.2,"On-Site or In-Plant Training",3,"Over 1 month, up to and including 3 months",12.03
11-1021.00,"General and Operations Managers",3.A.2,"On-Site or In-Plant Training",4,"Over 3 months, up to and including 6 months",15.58
11-1021.00,"General and Operations Managers",3.A.2,"On-Site or In-Plant Training",5,"Over 6 months, up to and including 1 year",16.76
11-1021.00,"General and Operations Managers",3.A.2,"On-Site or In-Plant Training",6,"Over 1 year, up to and including 2 years",11.53
11-1021.00,"General and Operations Managers",3.A.2,"On-Site or In-Plant Training",7,"Over 2 years, up to and including 4 years",4.83
11-1021.00,"General and Operations Managers",3.A.2,"On-Site or In-Plant Training",8,"Over 4 years, up to and including 10 years",4.84
11-1021.00,"General and Operations Managers",3.A.2,"On-Site or In-Plant Training",9,"Over 10 years",0.31
11-2011.00,"Advertising and Promotions Managers",3.A.2,"On-Site or In-Plant Training",1,None,22.39
11-2011.00,"Advertising and Promotions Managers",3.A.2,"On-Site or In-Plant Training",2,"Up to and including 1 month",25.12
11-2011.00,"Advertising and Promotions Managers",3.A.2,"On-Site or In-Plant Training",3,"Over 1 month, up to and including 3 months",21.26
11-2011.00,"Advertising and Promotions Managers",3.A.2,"On-Site or In-Plant Training",4,"Over 3 months, up to and including 6 months",10.12
11-2011.00,"Advertising and Promotions Managers",3.A.2,"On-Site or In-Plant Training",5,"Over 6 months, up to and including 1 year",7.34
11-2011.00,"Advertising and Promotions Managers",3.A.2,"On-Site or In-Plant Training",6,"Over 1 year, up to and including 2 years",6.45
11-2011.00,"Advertising and Promotions Managers",3.A.2,"On-Site or In-Plant Training",7,"Over 2 years, up to and including 4 years",2.42
11-2011.00,"Advertising and Promotions Managers",3.A.2,"On-Site or In-Plant Training",9,"Over 10 years",4.9
11-2021.00,"Marketing Managers",3.A.2,"On-Site or In-Plant Training",1,None,33.95
11-2021.00,"Marketing Managers",3.A.2,"On-Site or In-Plant Training",2,"Up to and including 1 month",14.98
11-2021.00,"Marketing Managers",3.A.2,"On-Site or In-Plant Training",3,"Over 1 month, up to and including 3 months",32.96
11-2021.00,"Marketing Managers",3.A.2,"On-Site or In-Plant Training",4,"Over 3 months, up to and including 6 months",11.25
11-2021.00,"Marketing Managers",3.A.2,"On-Site or In-Plant Training",5,"Over 6 months, up to and including 1 year",5.71
11-2021.00,"Marketing Managers",3.A.2,"On-Site or In-Plant Training",6,"Over 1 year, up to and including 2 years",1.15
11-2022.00,"Sales Managers",3.A.2,"On-Site or In-Plant Training",1,None,4.35
11-2022.00,"Sales Managers",3.A.2,"On-Site or In-Plant Training",2,"Up to and including 1 month",21.74
11-2022.00,"Sales Managers",3.A.2,"On-Site or In-Plant Training",3,"Over 1 month, up to and including 3 months",26.09
11-2022.00,"Sales Managers",3.A.2,"On-Site or In-Plant Training",4,"Over 3 months, up to and including 6 months",17.39
11-2022.00,"Sales Managers",3.A.2,"On-Site or In-Plant Training",5,"Over 6 months, up to and including 1 year",17.39
11-2022.00,"Sales Managers",3.A.2,"On-Site or In-Plant Training",6,"Over 1 year, up to and including 2 years",8.7
11-2022.00,"Sales Managers",3.A.2,"On-Site or In-Plant Training",8,"Over 4 years, up to and including 10 years",4.35
11-3012.00,"Administrative Services Managers",3.A.2,"On-Site or In-Plant Training",1,None,13.82
11-3012.00,"Administrative Services Managers",3.A.2,"On-Site or In-Plant Training",2,"Up to and including 1 month",14.5
11-3012.00,"Administrative Services Managers",3.A.2,"On-Site or In-Plant Training",3,"Over 1 month, up to and including 3 months",34.62
11-3012.00,"Administrative Services Managers",3.A.2,"On-Site or In-Plant Training",4,"Over 3 months, up to and including 6 months",13.03
11-3012.00,"Administrative Services Managers",3.A.2,"On-Site or In-Plant Training",5,"Over 6 months, up to and including 1 year",17.86
11-3012.00,"Administrative Services Managers",3.A.2,"On-Site or In-Plant Training",6,"Over 1 year, up to and including 2 years",3.39
11-3012.00,"Administrative Services Managers",3.A.2,"On-Site or In-Plant Training",7,"Over 2 years, up to and including 4 years",1.38
11-3012.00,"Administrative Services Managers",3.A.2,"On-Site or In-Plant Training",8,"Over 4 years, up to and including 10 years",1.41
11-3021.00,"Computer and Information Systems Managers",3.A.2,"On-Site or In-Plant Training",1,None,16.82
11-3021.00,"Computer and Information Systems Managers",3.A.2,"On-Site or In-Plant Training",2,"Up to and including 1 month",31.64
11-3021.00,"Computer and Information Systems Managers",3.A.2,"On-Site or In-Plant Training",3,"Over 1 month, up to and including 3 months",5.33
11-3021.00,"Computer and Information Systems Managers",3.A.2,"On-Site or In-Plant Training",4,"Over 3 months, up to and including 6 months",6.9
11-3021.00,"Computer and Information Systems Managers",3.A.2,"On-Site or In-Plant Training",5,"Over 6 months, up to and including 1 year",23
11-3021.00,"Computer and Information Systems Managers",3.A.2,"On-Site or In-Plant Training",6,"Over 1 year, up to and including 2 years",9.72
11-3021.00,"Computer and Information Systems Managers",3.A.2,"On-Site or In-Plant Training",8,"Over 4 years, up to and including 10 years",6.58
11-3031.01,"Treasurers and Controllers",3.A.2,"On-Site or In-Plant Training",1,None,28
11-3031.01,"Treasurers and Controllers",3.A.2,"On-Site or In-Plant Training",2,"Up to and including 1 month",16
11-3031.01,"Treasurers and Controllers",3.A.2,"On-Site or In-Plant Training",3,"Over 1 month, up to and including 3 months",8
11-3031.01,"Treasurers and Controllers",3.A.2,"On-Site or In-Plant Training",4,"Over 3 months, up to and including 6 months",20
11-3031.01,"Treasurers and Controllers",3.A.2,"On-Site or In-Plant Training",5,"Over 6 months, up to and including 1 year",12
11-3031.01,"Treasurers and Controllers",3.A.2,"On-Site or In-Plant Training",6,"Over 1 year, up to and including 2 years",8
11-3031.01,"Treasurers and Controllers",3.A.2,"On-Site or In-Plant Training",8,"Over 4 years, up to and including 10 years",8
