SOC,Title,Element_ID,Element_Name,Category,Description,Data_Value
11-1011.00,"Chief Executives",2.D.1,"Required Level of Education",4,"Some College Courses",6.05
11-1011.00,"Chief Executives",2.D.1,"Required Level of Education",5,"Associate's Degree (or other 2-year degree)",4.23
11-1011.00,"Chief Executives",2.D.1,"Required Level of Education",6,"Bachelor's Degree",21.61
11-1011.00,"Chief Executives",2.D.1,"Required Level of Education",7,"Post-Baccalaureate Certificate - awarded for completion of an organized program of study; designed for people who have completed a Baccalaureate degree but do not meet the requirements of academic degrees carrying the title of Master.",13.66
11-1011.00,"Chief Executives",2.D.1,"Required Level of Education",8,"Master's Degree",25.83
11-1011.00,"Chief Executives",2.D.1,"Required Level of Education",9,"Post-Master's Certificate - awarded for completion of an organized program of study; designed for people who have completed a Master's degree but do not meet the requirements of academic degrees at the doctoral level.",19.23
11-1011.00,"Chief Executives",2.D.1,"Required Level of Education",11,"Doctoral Degree",9.39
11-1011.03,"Chief Sustainability Officers",2.D.1,"Required Level of Education",6,"Bachelor's Degree",18.52
11-1011.03,"Chief Sustainability Officers",2.D.1,"Required Level of Education",8,"Master's Degree",74.07
11-1011.03,"Chief Sustainability Officers",2.D.1,"Required Level of Education",9,"Post-Master's Certificate - awarded for completion of an organized program of study; designed for people who have completed a Master's degree but do not meet the requirements of academic degrees at the doctoral level.",7.41
11-1021.00,"General and Operations Managers",2.D.1,"Required Level of Education",2,"High School Diploma - or the equivalent (for example, GED)",15.2
11-1021.00,"General and Operations Managers",2.D.1,"Required Level of Education",3,"Post-Secondary Certificate - awarded for training completed after high school (for example, in agriculture or natural resources, computer services, personal or culinary services, engineering technologies, healthcare, construction trades, mechanic and repair technologies, or precision production)",9
11-1021.00,"General and Operations Managers",2.D.1,"Required Level of Education",4,"Some College Courses",19.18
11-1021.00,"General and Operations Managers",2.D.1,"Required Level of Education",5,"Associate's Degree (or other 2-year degree)",8.59
11-1021.00,"General and Operations Managers",2.D.1,"Required Level of Education",6,"Bachelor's Degree",29.29
11-1021.00,"General and Operations Managers",2.D.1,"Required Level of Education",7,"Post-Baccalaureate Certificate - awarded for completion of an organized program of study; designed for people who have completed a Baccalaureate degree but do not meet the requirements of academic degrees carrying the title of Master.",14.58
11-1021.00,"General and Operations Managers",2.D.1,"Required Level of Education",8,"Master's Degree",0.8
11-1021.00,"General and Operations Managers",2.D.1,"Required Level of Education",9,"Post-Master's Certificate - awarded for completion of an organized program of study; designed for people who have completed a Master's degree but do not meet the requirements of academic degrees at the doctoral level.",3.37
11-2011.00,"Advertising and Promotions Managers",2.D.1,"Required Level of Education",1,"Less than a High School Diploma",6.16
11-2011.00,"Advertising and Promotions Managers",2.D.1,"Required Level of Education",2,"High School Diploma - or the equivalent (for example, GED)",9.82
11-2011.00,"Advertising and Promotions Managers",2.D.1,"Required Level of Education",4,"Some College Courses",7.67
11-2011.00,"Advertising and Promotions Managers",2.D.1,"Required Level of Education",5,"Associate's Degree (or other 2-year degree)",8.04
11-2011.00,"Advertising and Promotions Managers",2.D.1,"Required Level of Education",6,"Bachelor's Degree",60.02
11-2011.00,"Advertising and Promotions Managers",2.D.1,"Required Level of Education",7,"Post-Baccalaureate Certificate - awarded for completion of an organized program of study; designed for people who have completed a Baccalaureate degree but do not meet the requirements of academic degrees carrying the title of Master.",2.42
11-2011.00,"Advertising and Promotions Managers",2.D.1,"Required Level of Education",8,"Master's Degree",5.87
11-2021.00,"Marketing Managers",2.D.1,"Required Level of Education",2,"High School Diploma - or the equivalent (for example, GED)",3.53
11-2021.00,"Marketing Managers",2.D.1,"Required Level of Education",4,"Some College Courses",2.8
11-2021.00,"Marketing Managers",2.D.1,"Required Level of Education",5,"Associate's Degree (or other 2-year degree)",3.03
11-2021.00,"Marketing Managers",2.D.1,"Required Level of Education",6,"Bachelor's Degree",55.76
11-2021.00,"Marketing Managers",2.D.1,"Required Level of Education",8,"Master's Degree",24.36
11-2021.00,"Marketing Managers",2.D.1,"Required Level of Education",10,"First Professional Degree - awarded for completion of a program that: requires at least 2 years of college work before entrance into the program, includes a total of at least 6 academic years of work to complete, and provides all remaining academic requirements to begin practice in a profession.",10.52
11-2022.00,"Sales Managers",2.D.1,"Required Level of Education",4,"Some College Courses",4.35
11-2022.00,"Sales Managers",2.D.1,"Required Level of Education",5,"Associate's Degree (or other 2-year degree)",13.04
11-2022.00,"Sales Managers",2.D.1,"Required Level of Education",6,"Bachelor's Degree",65.22
11-2022.00,"Sales Managers",2.D.1,"Required Level of Education",7,"Post-Baccalaureate Certificate - awarded for completion of an organized program of study; designed for people who have completed a Baccalaureate degree but do not meet the requirements of academic degrees carrying the title of Master.",8.7
11-2022.00,"Sales Managers",2.D.1,"Required Level of Education",8,"Master's Degree",8.7
11-3012.00,"Administrative Services Managers",2.D.1,"Required Level of Education",2,"High School Diploma - or the equivalent (for example, GED)",33.56
11-3012.00,"Administrative Services Managers",2.D.1,"Required Level of Education",3,"Post-Secondary Certificate - awarded for training completed after high school (for example, in agriculture or natural resources, computer services, personal or culinary services, engineering technologies, healthcare, construction trades, mechanic and repair technologies, or precision production)",13.16
11-3012.00,"Administrative Services Managers",2.D.1,"Required Level of Education",4,"Some College Courses",13.18
11-3012.00,"Administrative Services Managers",2.D.1,"Required Level of Education",5,"Associate's Degree (or other 2-year degree)",11.84
11-3012.00,"Administrative Services Managers",2.D.1,"Required Level of Education",6,"Bachelor's Degree",24.28
11-3012.00,"Administrative Services Managers",2.D.1,"Required Level of Education",8,"Master's Degree",3.87
