SOC,Title,Element_ID,Element_Name,Category,Description,Data_Value
11-1011.00,"Chief Executives",3.A.1,"Related Work Experience",6,"Over 1 year, up to and including 2 years",5.55
11-1011.00,"Chief Executives",3.A.1,"Related Work Experience",7,"Over 2 years, up to and including 4 years",12.75
11-1011.00,"Chief Executives",3.A.1,"Related Work Experience",8,"Over 4 years, up to and including 6 years",9.17
11-1011.00,"Chief Executives",3.A.1,"Related Work Experience",9,"Over 6 years, up to and including 8 years",28.17
11-1011.00,"Chief Executives",3.A.1,"Related Work Experience",10,"Over 8 years, up to and including 10 years",12.63
11-1011.00,"Chief Executives",3.A.1,"Related Work Experience",11,"Over 10 years",31.74
11-1011.03,"Chief Sustainability Officers",3.A.1,"Related Work Experience",6,"Over 1 year, up to and including 2 years",3.7
11-1011.03,"Chief Sustainability Officers",3.A.1,"Related Work Experience",7,"Over 2 years, up to and including 4 years",11.11
11-1011.03,"Chief Sustainability Officers",3.A.1,"Related Work Experience",8,"Over 4 years, up to and including 6 years",40.74
11-1011.03,"Chief Sustainability Officers",3.A.1,"Related Work Experience",9,"Over 6 years, up to and including 8 years",18.52
11-1011.03,"Chief Sustainability Officers",3.A.1,"Related Work Experience",10,"Over 8 years, up to and including 10 years",11.11
11-1011.03,"Chief Sustainability Officers",3.A.1,"Related Work Experience",11,"Over 10 years",14.81
11-1021.00,"General and Operations Managers",3.A.1,"Related Work Experience",1,None,1.08
11-1021.00,"General and Operations Managers",3.A.1,"Related Work Experience",5,"Over 6 months, up to and including 1 year",5.09
11-1021.00,"General and Operations Managers",3.A.1,"Related Work Experience",6,"Over 1 year, up to and including 2 years",11.27
11-1021.00,"General and Operations Managers",3.A.1,"Related Work Experience",7,"Over 2 years, up to and including 4 years",22.06
11-1021.00,"General and Operations Managers",3.A.1,"Related Work Experience",8,"Over 4 years, up to and including 6 years",24.36
11-1021.00,"General and Operations Managers",3.A.1,"Related Work Experience",9,"Over 6 years, up to and including 8 years",8.65
11-1021.00,"General and Operations Managers",3.A.1,"Related Work Experience",10,"Over 8 years, up to and including 10 years",13.04
11-1021.00,"General and Operations Managers",3.A.1,"Related Work Experience",11,"Over 10 years",14.44
11-2011.00,"Advertising and Promotions Managers",3.A.1,"Related Work Experience",5,"Over 6 months, up to and including 1 year",14.2
11-2011.00,"Advertising and Promotions Managers",3.A.1,"Related Work Experience",6,"Over 1 year, up to and including 2 years",13.73
11-2011.00,"Advertising and Promotions Managers",3.A.1,"Related Work Experience",7,"Over 2 years, up to and including 4 years",21.74
11-2011.00,"Advertising and Promotions Managers",3.A.1,"Related Work Experience",8,"Over 4 years, up to and including 6 years",26.52
11-2011.00,"Advertising and Promotions Managers",3.A.1,"Related Work Experience",9,"Over 6 years, up to and including 8 years",16.49
11-2011.00,"Advertising and Promotions Managers",3.A.1,"Related Work Experience",10,"Over 8 years, up to and including 10 years",2.42
11-2011.00,"Advertising and Promotions Managers",3.A.1,"Related Work Experience",11,"Over 10 years",4.9
11-2021.00,"Marketing Managers",3.A.1,"Related Work Experience",2,"Up to and including 1 month",1.43
11-2021.00,"Marketing Managers",3.A.1,"Related Work Experience",5,"Over 6 months, up to and including 1 year",9.04
11-2021.00,"Marketing Managers",3.A.1,"Related Work Experience",6,"Over 1 year, up to and including 2 years",7.23
11-2021.00,"Marketing Managers",3.A.1,"Related Work Experience",7,"Over 2 years, up to and including 4 years",12.08
11-2021.00,"Marketing Managers",3.A.1,"Related Work Experience",8,"Over 4 years, up to and including 6 years",18.8
11-2021.00,"Marketing Managers",3.A.1,"Related Work Experience",9,"Over 6 years, up to and including 8 years",14.98
11-2021.00,"Marketing Managers",3.A.1,"Related Work Experience",10,"Over 8 years, up to and including 10 years",33.99
11-2021.00,"Marketing Managers",3.A.1,"Related Work Experience",11,"Over 10 years",2.47
11-2022.00,"Sales Managers",3.A.1,"Related Work Experience",4,"Over 3 months, up to and including 6 months",4.35
11-2022.00,"Sales Managers",3.A.1,"Related Work Experience",6,"Over 1 year, up to and including 2 years",13.04
11-2022.00,"Sales Managers",3.A.1,"Related Work Experience",7,"Over 2 years, up to and including 4 years",13.04
11-2022.00,"Sales Managers",3.A.1,"Related Work Experience",8,"Over 4 years, up to and including 6 years",26.09
11-2022.00,"Sales Managers",3.A.1,"Related Work Experience",9,"Over 6 years, up to and including 8 years",34.78
11-2022.00,"Sales Managers",3.A.1,"Related Work Experience",10,"Over 8 years, up to and including 10 years",8.7
11-3012.00,"Administrative Services Managers",3.A.1,"Related Work Experience",1,None,3.21
11-3012.00,"Administrative Services Managers",3.A.1,"Related Work Experience",4,"Over 3 months, up to and including 6 months",2.52
11-3012.00,"Administrative Services Managers",3.A.1,"Related Work Experience",5,"Over 6 months, up to and including 1 year",1.67
11-3012.00,"Administrative Services Managers",3.A.1,"Related Work Experience",6,"Over 1 year, up to and including 2 years",26.78
11-3012.00,"Administrative Services Managers",3.A.1,"Related Work Experience",7,"Over 2 years, up to and including 4 years",31.24
11-3012.00,"Administrative Services Managers",3.A.1,"Related Work Experience",8,"Over 4 years, up to and including 6 years",21.73
11-3012.00,"Administrative Services Managers",3.A.1,"Related Work Experience",9,"Over 6 years, up to and including 8 years",6.92
11-3012.00,"Administrative Services Managers",3.A.1,"Related Work Experience",10,"Over 8 years, up to and including 10 years",5.02
11-3012.00,"Administrative Services Managers",3.A.1,"Related Work Experience",11,"Over 10 years",0.89
11-3021.00,"Computer and Information Systems Managers",3.A.1,"Related Work Experience",6,"Over 1 year, up to and including 2 years",1.08
11-3021.00,"Computer and Information Systems Managers",3.A.1,"Related Work Experience",7,"Over 2 years, up to and including 4 years",11.15
11-3021.00,"Computer and Information Systems Managers",3.A.1,"Related Work Experience",8,"Over 4 years, up to and including 6 years",23.94
11-3021.00,"Computer and Information Systems Managers",3.A.1,"Related Work Experience",9,"Over 6 years, up to and including 8 years",40.02
11-3021.00,"Computer and Information Systems Managers",3.A.1,"Related Work Experience",10,"Over 8 years, up to and including 10 years",10.55
11-3021.00,"Computer and Information Systems Managers",3.A.1,"Related Work Experience",11,"Over 10 years",13.25
11-3031.01,"Treasurers and Controllers",3.A.1,"Related Work Experience",6,"Over 1 year, up to and including 2 years",4
11-3031.01,"Treasurers and Controllers",3.A.1,"Related Work Experience",7,"Over 2 years, up to and including 4 years",12
11-3031.01,"Treasurers and Controllers",3.A.1,"Related Work Experience",8,"Over 4 years, up to and including 6 years",20
11-3031.01,"Treasurers and Controllers",3.A.1,"Related Work Experience",9,"Over 6 years, up to and including 8 years",24
11-3031.01,"Treasurers and Controllers",3.A.1,"Related Work Experience",10,"Over 8 years, up to and including 10 years",16
11-3031.01,"Treasurers and Controllers",3.A.1,"Related Work Experience",11,"Over 10 years",24
11-3031.03,"Investment Fund Managers",3.A.1,"Related Work Experience",6,"Over 1 year, up to and including 2 years",1.51
11-3031.03,"Investment Fund Managers",3.A.1,"Related Work Experience",7,"Over 2 years, up to and including 4 years",1.51
11-3031.03,"Investment Fund Managers",3.A.1,"Related Work Experience",8,"Over 4 years, up to and including 6 years",24.86
11-3031.03,"Investment Fund Managers",3.A.1,"Related Work Experience",9,"Over 6 years, up to and including 8 years",16.35
11-3031.03,"Investment Fund Managers",3.A.1,"Related Work Experience",10,"Over 8 years, up to and including 10 years",28.36
11-3031.03,"Investment Fund Managers",3.A.1,"Related Work Experience",11,"Over 10 years",27.4
11-3051.00,"Industrial Production Managers",3.A.1,"Related Work Experience",1,None,7.5
11-3051.00,"Industrial Production Managers",3.A.1,"Related Work Experience",4,"Over 3 months, up to and including 6 months",2.48
11-3051.00,"Industrial Production Managers",3.A.1,"Related Work Experience",5,"Over 6 months, up to and including 1 year",3.06
11-3051.00,"Industrial Production Managers",3.A.1,"Related Work Experience",6,"Over 1 year, up to and including 2 years",28.44
11-3051.00,"Industrial Production Managers",3.A.1,"Related Work Experience",7,"Over 2 years, up to and including 4 years",12.95
11-3051.00,"Industrial Production Managers",3.A.1,"Related Work Experience",8,"Over 4 years, up to and including 6 years",21.21
11-3051.00,"Industrial Production Managers",3.A.1,"Related Work Experience",9,"Over 6 years, up to and including 8 years",9.97
11-3051.00,"Industrial Production Managers",3.A.1,"Related Work Experience",10,"Over 8 years, up to and including 10 years",1.22
11-3051.00,"Industrial Production Managers",3.A.1,"Related Work Experience",11,"Over 10 years",13.16
11-3051.01,"Quality Control Systems Managers",3.A.1,"Related Work Experience",6,"Over 1 year, up to and including 2 years",1.12
11-3051.01,"Quality Control Systems Managers",3.A.1,"Related Work Experience",7,"Over 2 years, up to and including 4 years",26.46
11-3051.01,"Quality Control Systems Managers",3.A.1,"Related Work Experience",8,"Over 4 years, up to and including 6 years",48.42
11-3051.01,"Quality Control Systems Managers",3.A.1,"Related Work Experience",9,"Over 6 years, up to and including 8 years",10.78
