O*NET-SOC_Code,Title,Element_ID,Element_Name,Data_Value
11-1011.00,Chief Executives,1.C.1.a,Achievement/Effort,4.55
11-1011.00,Chief Executives,1.C.1.b,Persistence,4.43
11-1011.00,Chief Executives,1.C.1.c,Initiative,4.75
11-1011.00,Chief Executives,1.C.2.b,Leadership,4.97
11-1011.00,Chief Executives,1.C.3.a,Cooperation,4.44
11-1011.00,Chief Executives,1.C.3.b,Concern for Others,4.22
11-1011.00,Chief Executives,1.C.3.c,Social Orientation,3.67
11-1011.00,Chief Executives,1.C.4.a,Self Control,4.52
11-1011.00,Chief Executives,1.C.4.b,Stress Tolerance,4.75
11-1011.00,Chief Executives,1.C.4.c,Adaptability/Flexibility,4.2
11-1011.00,Chief Executives,1.C.5.a,Dependability,4.65
11-1011.00,Chief Executives,1.C.5.b,Attention to Detail,4.49
11-1011.00,Chief Executives,1.C.5.c,Integrity,4.8
11-1011.00,Chief Executives,1.C.6,Independence,4.54
11-1011.00,Chief Executives,1.C.7.a,Innovation,4.27
11-1011.00,Chief Executives,1.C.7.b,Analytical Thinking,4.45
11-1011.03,Chief Sustainability Officers,1.C.1.a,Achievement/Effort,4.19
11-1011.03,Chief Sustainability Officers,1.C.1.b,Persistence,4.63
11-1011.03,Chief Sustainability Officers,1.C.1.c,Initiative,4.74
11-1011.03,Chief Sustainability Officers,1.C.2.b,Leadership,4.81
11-1011.03,Chief Sustainability Officers,1.C.3.a,Cooperation,4.67
11-1011.03,Chief Sustainability Officers,1.C.3.b,Concern for Others,4
11-1011.03,Chief Sustainability Officers,1.C.3.c,Social Orientation,3.78
11-1011.03,Chief Sustainability Officers,1.C.4.a,Self Control,4.15
11-1011.03,Chief Sustainability Officers,1.C.4.b,Stress Tolerance,3.96
11-1011.03,Chief Sustainability Officers,1.C.4.c,Adaptability/Flexibility,4.48
11-1011.03,Chief Sustainability Officers,1.C.5.a,Dependability,4.19
11-1011.03,Chief Sustainability Officers,1.C.5.b,Attention to Detail,3.89
11-1011.03,Chief Sustainability Officers,1.C.5.c,Integrity,4.56
11-1011.03,Chief Sustainability Officers,1.C.6,Independence,4.26
11-1011.03,Chief Sustainability Officers,1.C.7.a,Innovation,4.48
11-1011.03,Chief Sustainability Officers,1.C.7.b,Analytical Thinking,4.52
11-1021.00,General and Operations Managers,1.C.1.a,Achievement/Effort,4.18
11-1021.00,General and Operations Managers,1.C.1.b,Persistence,4.04
11-1021.00,General and Operations Managers,1.C.1.c,Initiative,4.35
11-1021.00,General and Operations Managers,1.C.2.b,Leadership,4.59
11-1021.00,General and Operations Managers,1.C.3.a,Cooperation,4.16
11-1021.00,General and Operations Managers,1.C.3.b,Concern for Others,4.06
11-1021.00,General and Operations Managers,1.C.3.c,Social Orientation,3.57
11-1021.00,General and Operations Managers,1.C.4.a,Self Control,4.31
11-1021.00,General and Operations Managers,1.C.4.b,Stress Tolerance,4.33
11-1021.00,General and Operations Managers,1.C.4.c,Adaptability/Flexibility,4.09
11-1021.00,General and Operations Managers,1.C.5.a,Dependability,4.54
11-1021.00,General and Operations Managers,1.C.5.b,Attention to Detail,4.25
11-1021.00,General and Operations Managers,1.C.5.c,Integrity,4.3
11-1021.00,General and Operations Managers,1.C.6,Independence,3.99
11-1021.00,General and Operations Managers,1.C.7.a,Innovation,3.65
11-1021.00,General and Operations Managers,1.C.7.b,Analytical Thinking,4.03
11-2011.00,Advertising and Promotions Managers,1.C.1.a,Achievement/Effort,4.1
11-2011.00,Advertising and Promotions Managers,1.C.1.b,Persistence,4.32
11-2011.00,Advertising and Promotions Managers,1.C.1.c,Initiative,4.56
11-2011.00,Advertising and Promotions Managers,1.C.2.b,Leadership,4.03
11-2011.00,Advertising and Promotions Managers,1.C.3.a,Cooperation,4.51
11-2011.00,Advertising and Promotions Managers,1.C.3.b,Concern for Others,3.81
11-2011.00,Advertising and Promotions Managers,1.C.3.c,Social Orientation,3.7
11-2011.00,Advertising and Promotions Managers,1.C.4.a,Self Control,4.18
11-2011.00,Advertising and Promotions Managers,1.C.4.b,Stress Tolerance,4.35
11-2011.00,Advertising and Promotions Managers,1.C.4.c,Adaptability/Flexibility,4.42
11-2011.00,Advertising and Promotions Managers,1.C.5.a,Dependability,4.51
11-2011.00,Advertising and Promotions Managers,1.C.5.b,Attention to Detail,4.48
11-2011.00,Advertising and Promotions Managers,1.C.5.c,Integrity,4.17
11-2011.00,Advertising and Promotions Managers,1.C.6,Independence,4.04
11-2011.00,Advertising and Promotions Managers,1.C.7.a,Innovation,3.99
11-2011.00,Advertising and Promotions Managers,1.C.7.b,Analytical Thinking,3.88
11-2021.00,Marketing Managers,1.C.1.a,Achievement/Effort,4.32
11-2021.00,Marketing Managers,1.C.1.b,Persistence,4.23
11-2021.00,Marketing Managers,1.C.1.c,Initiative,4.53
11-2021.00,Marketing Managers,1.C.2.b,Leadership,4.37
11-2021.00,Marketing Managers,1.C.3.a,Cooperation,4.08
11-2021.00,Marketing Managers,1.C.3.b,Concern for Others,3.37
11-2021.00,Marketing Managers,1.C.3.c,Social Orientation,3.8
11-2021.00,Marketing Managers,1.C.4.a,Self Control,3.87
11-2021.00,Marketing Managers,1.C.4.b,Stress Tolerance,4.01
11-2021.00,Marketing Managers,1.C.4.c,Adaptability/Flexibility,4.31
11-2021.00,Marketing Managers,1.C.5.a,Dependability,4.35
11-2021.00,Marketing Managers,1.C.5.b,Attention to Detail,4.32
11-2021.00,Marketing Managers,1.C.5.c,Integrity,4.17
11-2021.00,Marketing Managers,1.C.6,Independence,3.88
11-2021.00,Marketing Managers,1.C.7.a,Innovation,4.15
11-2021.00,Marketing Managers,1.C.7.b,Analytical Thinking,4
11-2022.00,Sales Managers,1.C.1.a,Achievement/Effort,4.35
11-2022.00,Sales Managers,1.C.1.b,Persistence,4.48
11-2022.00,Sales Managers,1.C.1.c,Initiative,4.78
11-2022.00,Sales Managers,1.C.2.b,Leadership,4.57
11-2022.00,Sales Managers,1.C.3.a,Cooperation,4.35
11-2022.00,Sales Managers,1.C.3.b,Concern for Others,3.74
11-2022.00,Sales Managers,1.C.3.c,Social Orientation,3.83
11-2022.00,Sales Managers,1.C.4.a,Self Control,4.3
11-2022.00,Sales Managers,1.C.4.b,Stress Tolerance,4.52
11-2022.00,Sales Managers,1.C.4.c,Adaptability/Flexibility,4.57
11-2022.00,Sales Managers,1.C.5.a,Dependability,4.57
11-2022.00,Sales Managers,1.C.5.b,Attention to Detail,4.09
11-2022.00,Sales Managers,1.C.5.c,Integrity,4.64
11-2022.00,Sales Managers,1.C.6,Independence,4.3
11-2022.00,Sales Managers,1.C.7.a,Innovation,4.13
11-2022.00,Sales Managers,1.C.7.b,Analytical Thinking,4.14
11-3012.00,Administrative Services Managers,1.C.1.a,Achievement/Effort,3.97
11-3012.00,Administrative Services Managers,1.C.1.b,Persistence,3.98
11-3012.00,Administrative Services Managers,1.C.1.c,Initiative,4.24
11-3012.00,Administrative Services Managers,1.C.2.b,Leadership,3.95
11-3012.00,Administrative Services Managers,1.C.3.a,Cooperation,4.3
11-3012.00,Administrative Services Managers,1.C.3.b,Concern for Others,4.03
11-3012.00,Administrative Services Managers,1.C.3.c,Social Orientation,3.65
11-3012.00,Administrative Services Managers,1.C.4.a,Self Control,4.53
11-3012.00,Administrative Services Managers,1.C.4.b,Stress Tolerance,4.44
11-3012.00,Administrative Services Managers,1.C.4.c,Adaptability/Flexibility,4.19
11-3012.00,Administrative Services Managers,1.C.5.a,Dependability,4.69
11-3012.00,Administrative Services Managers,1.C.5.b,Attention to Detail,4.34
11-3012.00,Administrative Services Managers,1.C.5.c,Integrity,4.73
